#queryIndex	queryItem	stringId	preferredName	annotation
11	Carbonyl reductase [NADPH] 3	9606.ENSP00000290354	CBR3	Carbonyl reductase [NADPH] 3; Has low NADPH-dependent oxidoreductase activity towards 4- benzoylpyridine and menadione (in vitro). Belongs to the short-chain dehydrogenases/reductases (SDR) family.
12	Deoxycytidine kinase	9606.ENSP00000286648	DCK	Deoxycytidine kinase; Required for the phosphorylation of the deoxyribonucleosides deoxycytidine (dC), deoxyguanosine (dG) and deoxyadenosine (dA). Has broad substrate specificity, and does not display selectivity based on the chirality of the substrate. It is also an essential enzyme for the phosphorylation of numerous nucleoside analogs widely employed as antiviral and chemotherapeutic agents; Belongs to the DCK/DGK family.
13	HLA class II histocompatibility antigen gamma chain	9606.ENSP00000009530	CD74	HLA class II histocompatibility antigen gamma chain; Plays a critical role in MHC class II antigen processing by stabilizing peptide-free class II alpha/beta heterodimers in a complex soon after their synthesis and directing transport of the complex from the endoplasmic reticulum to the endosomal/lysosomal system where the antigen processing and binding of antigenic peptides to MHC class II takes place. Serves as cell surface receptor for the cytokine MIF.
15	Major vault protein	9606.ENSP00000378760	MVP	Major vault protein; Required for normal vault structure. Vaults are multi-subunit structures that may act as scaffolds for proteins involved in signal transduction. Vaults may also play a role in nucleo-cytoplasmic transport. Down-regulates IFNG-mediated STAT1 signaling and subsequent activation of JAK. Down-regulates SRC activity and signaling through MAP kinases.
16	Poly(A)-specific ribonuclease PARN	9606.ENSP00000387911	PARN	Poly(A)-specific ribonuclease PARN; 3'-exoribonuclease that has a preference for poly(A) tails of mRNAs, thereby efficiently degrading poly(A) tails. Exonucleolytic degradation of the poly(A) tail is often the first step in the decay of eukaryotic mRNAs and is also used to silence certain maternal mRNAs translationally during oocyte maturation and early embryonic development. Interacts with both the 3'-end poly(A) tail and the 5'-end cap structure during degradation, the interaction with the cap structure being required for an efficient degradation of poly(A) tails. Involved in nonsens [...] 
18	B-cell receptor-associated protein 29	9606.ENSP00000368414	BCAP29	B-cell receptor-associated protein 29; May play a role in anterograde transport of membrane proteins from the endoplasmic reticulum to the Golgi. May be involved in CASP8- mediated apoptosis (By similarity); Belongs to the BCAP29/BCAP31 family.
19	Mediator of RNA polymerase II transcription subunit 20	9606.ENSP00000265350	MED20	Mediator of RNA polymerase II transcription subunit 20; Component of the Mediator complex, a coactivator involved in the regulated transcription of nearly all RNA polymerase II-dependent genes. Mediator functions as a bridge to convey information from gene- specific regulatory proteins to the basal RNA polymerase II transcription machinery. Mediator is recruited to promoters by direct interactions with regulatory proteins and serves as a scaffold for the assembly of a functional preinitiation complex with RNA polymerase II and the general transcription factors.
20	Fumarylacetoacetate hydrolase domain-containing protein 2A	9606.ENSP00000233379	FAHD2A	Fumarylacetoacetate hydrolase domain-containing protein 2A; May have hydrolase activity.
21	HLA class II histocompatibility antigen, DR alpha chain	9606.ENSP00000378786	HLA-DRA	HLA class II histocompatibility antigen, DR alpha chain; Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for pre [...] 
22	Ubiquitin-conjugating enzyme E2 J1	9606.ENSP00000451261	UBE2J1	Ubiquitin-conjugating enzyme E2 J1; Catalyzes the covalent attachment of ubiquitin to other proteins. Functions in the selective degradation of misfolded membrane proteins from the endoplasmic reticulum (ERAD). Belongs to the ubiquitin-conjugating enzyme family.
23	Ras-related protein Rab-10	9606.ENSP00000264710	RAB10	Ras-related protein Rab-10; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different set of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. That Rab is mainly involved in the biosynthetic transport of proteins from the Golgi to the plasma membrane. Regulates, for instance, SLC2A4/GLUT4 glucose transporter-enriched vesicles  [...] 
24	2-oxoglutarate dehydrogenase, mitochondrial	9606.ENSP00000388183	OGDH	2-oxoglutarate dehydrogenase, mitochondrial; 2-oxoglutarate dehydrogenase (E1) component of the 2- oxoglutarate dehydrogenase complex, which mediates the decarboxylation of alpha-ketoglutarate. The 2-oxoglutarate dehydrogenase complex catalyzes the overall conversion of 2- oxoglutarate to succinyl-CoA and CO(2). The 2- oxoglutarate dehydrogenase complex is mainly active in the mitochondrion. A fraction of the 2-oxoglutarate dehydrogenase complex also localizes in the nucleus and is required for lysine succinylation of histones: associates with KAT2A on chromatin and provides succinyl-C [...] 
25	N-acetyl-D-glucosamine kinase	9606.ENSP00000477639	NAGK	N-acetyl-D-glucosamine kinase; Converts endogenous N-acetylglucosamine (GlcNAc), a major component of complex carbohydrates, from lysosomal degradation or nutritional sources into GlcNAc 6-phosphate. Involved in the N- glycolylneuraminic acid (Neu5Gc) degradation pathway: although human is not able to catalyze formation of Neu5Gc due to the inactive CMAHP enzyme, Neu5Gc is present in food and must be degraded. Also has ManNAc kinase activity.
26	Prolyl endopeptidase	9606.ENSP00000499089	PREP	Prolyl endopeptidase; Cleaves peptide bonds on the C-terminal side of prolyl residues within peptides that are up to approximately 30 amino acids long; Belongs to the peptidase S9A family.
27	Interferon-induced protein with tetratricopeptide repeats 1	9606.ENSP00000360869	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1; Interferon-induced antiviral RNA-binding protein that specifically binds single-stranded RNA bearing a 5'-triphosphate group (PPP-RNA), thereby acting as a sensor of viral single-stranded RNAs and inhibiting expression of viral messenger RNAs. Single-stranded PPP- RNAs, which lack 2'-O-methylation of the 5' cap and bear a 5'- triphosphate group instead, are specific from viruses, providing a molecular signature to distinguish between self and non-self mRNAs by the host during viral infection. Directly binds PPP-RNA in a non-  [...] 
28	Zinc finger protein 512	9606.ENSP00000347648	ZNF512	Zinc finger protein 512; May be involved in transcriptional regulation.
29	Intercellular adhesion molecule 1	9606.ENSP00000264832	ICAM1	Intercellular adhesion molecule 1; ICAM proteins are ligands for the leukocyte adhesion protein LFA-1 (integrin alpha-L/beta-2). During leukocyte trans-endothelial migration, ICAM1 engagement promotes the assembly of endothelial apical cups through ARHGEF26/SGEF and RHOG activation.  (Microbial infection) Acts as a receptor for Coxsackievirus A21 capsid proteins.
30	Cytosolic non-specific dipeptidase	9606.ENSP00000325548	CNDP2	Cytosolic non-specific dipeptidase; Hydrolyzes a variety of dipeptides including L-carnosine but has a strong preference for Cys-Gly. Acts as a functional tumor suppressor in gastric cancer via activation of the mitogen-activated protein kinase (MAPK) pathway. An elevated level of CNDP2 activates the p38 and JNK MAPK pathways to induce cell apoptosis, and a lower level of CNDP2 activates the ERK MAPK pathway to promote cell proliferation. Isoform 2 may play a role as tumor suppressor in hepatocellular carcinoma (HCC) cells. Catalyzes the production of N-lactoyl-amino acids from lactate [...] 
31	NEDD8 ultimate buster 1	9606.ENSP00000454264	NUB1	NEDD8 ultimate buster 1; Specific down-regulator of the NEDD8 conjugation system. Recruits NEDD8, UBD, and their conjugates to the proteasome for degradation. Isoform 1 promotes the degradation of NEDD8 more efficiently than isoform 2.
32	V-type proton ATPase subunit B, brain isoform	9606.ENSP00000276390	ATP6V1B2	V-type proton ATPase subunit B, brain isoform; Non-catalytic subunit of the peripheral V1 complex of vacuolar ATPase. V-ATPase is responsible for acidifying a variety of intracellular compartments in eukaryotic cells; Belongs to the ATPase alpha/beta chains family.
33	Shootin-1	9606.ENSP00000347532	SHTN1	Shootin-1; Involved in the generation of internal asymmetric signals required for neuronal polarization and neurite outgrowth. Mediates netrin-1-induced F-actin-substrate coupling or 'clutch engagement' within the axon growth cone through activation of CDC42, RAC1 and PAK1- dependent signaling pathway, thereby converting the F-actin retrograde flow into traction forces, concomitantly with filopodium extension and axon outgrowth. Plays a role in cytoskeletal organization by regulating the subcellular localization of phosphoinositide 3-kinase (PI3K) activity at the axonal growth cone. Pl [...] 
35	Annexin A11	9606.ENSP00000398610	ANXA11	Annexin A11; Binds specifically to calcyclin in a calcium-dependent manner (By similarity). Required for midbody formation and completion of the terminal phase of cytokinesis.
36	Actin-related protein 2/3 complex subunit 1B	9606.ENSP00000389631	ARPC1B	Actin-related protein 2/3 complex subunit 1B; Component of the Arp2/3 complex, a multiprotein complex that mediates actin polymerization upon stimulation by nucleation-promoting factor (NPF). The Arp2/3 complex mediates the formation of branched actin networks in the cytoplasm, providing the force for cell motility. In addition to its role in the cytoplasmic cytoskeleton, the Arp2/3 complex also promotes actin polymerization in the nucleus, thereby regulating gene transcription and repair of damaged DNA. The Arp2/3 complex promotes homologous recombination (HR) repair in response to DN [...] 
37	Caspase	9606.ENSP00000247470	PYCARD	Apoptosis-associated speck-like protein containing a CARD; Functions as key mediator in apoptosis and inflammation. Promotes caspase-mediated apoptosis involving predominantly caspase-8 and also caspase-9 in a probable cell type-specific manner. Involved in activation of the mitochondrial apoptotic pathway, promotes caspase-8- dependent proteolytic maturation of BID independently of FADD in certain cell types and also mediates mitochondrial translocation of BAX and activates BAX-dependent apoptosis coupled to activation of caspase- 9, -2 and -3. Involved in macrophage pyroptosis, a cas [...] 
38	Interferon-induced guanylate-binding protein 1	9606.ENSP00000359504	GBP1	Guanylate-binding protein 1; Hydrolyzes GTP to GMP in 2 consecutive cleavage reactions. Exhibits antiviral activity against influenza virus. Promotes oxidative killing and delivers antimicrobial peptides to autophagolysosomes, providing broad host protection against different pathogen classes.
39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5	9606.ENSP00000417142	NDUFA5	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 5; Accessory subunit of the mitochondrial membrane respiratory chain NADH dehydrogenase (Complex I), that is believed not to be involved in catalysis. Complex I functions in the transfer of electrons from NADH to the respiratory chain. The immediate electron acceptor for the enzyme is believed to be ubiquinone.
40	Endoplasmic reticulum aminopeptidase 1	9606.ENSP00000296754	ERAP1	Endoplasmic reticulum aminopeptidase 1; Aminopeptidase that plays a central role in peptide trimming, a step required for the generation of most HLA class I-binding peptides. Peptide trimming is essential to customize longer precursor peptides to fit them to the correct length required for presentation on MHC class I molecules. Strongly prefers substrates 9-16 residues long. Rapidly degrades 13-mer to a 9-mer and then stops. Preferentially hydrolyzes the residue Leu and peptides with a hydrophobic C-terminus, while it has weak activity toward peptides with charged C-terminus. May play  [...] 
41	GH3 domain-containing protein	9606.ENSP00000301671	GHDC	GH3 domain-containing protein; GH3 domain containing.
42	HLA class II histocompatibility antigen, DP alpha 1 chain	9606.ENSP00000393566	HLA-DPA1	HLA class II histocompatibility antigen, DP alpha 1 chain; Binds peptides derived from antigens that access the endocytic route of antigen presenting cells (APC) and presents them on the cell surface for recognition by the CD4 T-cells. The peptide binding cleft accommodates peptides of 10-30 residues. The peptides presented by MHC class II molecules are generated mostly by degradation of proteins that access the endocytic route, where they are processed by lysosomal proteases and other hydrolases. Exogenous antigens that have been endocytosed by the APC are thus readily available for p [...] 
43	Cell division control protein 42 homolog	9606.ENSP00000497733	CDC42	Cell division control protein 42 homolog; Plasma membrane-associated small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. In active state binds to a variety of effector proteins to regulate cellular responses. Involved in epithelial cell polarization processes. Regulates the bipolar attachment of spindle microtubules to kinetochores before chromosome congression in metaphase. Regulates cell migration. In neurons, plays a role in the extension and maintenance of the formation of filopodia, thin and actin-rich surface projections. Required for DOCK10-med [...] 
44	F-actin-capping protein subunit beta	9606.ENSP00000401010	CAPZB	F-actin-capping protein subunit beta; F-actin-capping proteins bind in a Ca(2+)-independent manner to the fast growing ends of actin filaments (barbed end) thereby blocking the exchange of subunits at these ends. Unlike other capping proteins (such as gelsolin and severin), these proteins do not sever actin filaments. Plays a role in the regulation of cell morphology and cytoskeletal organization.
45	Long-chain-fatty-acid--CoA ligase 3	9606.ENSP00000350012	ACSL3	Long-chain-fatty-acid--CoA ligase 3; Acyl-CoA synthetases (ACSL) activates long-chain fatty acids for both synthesis of cellular lipids, and degradation via beta- oxidation. Required for the incorporation of fatty acids into phosphatidylcholine, the major phospholipid located on the surface of VLDL (very low density lipoproteins). Has mainly an anabolic role in energy metabolism. Mediates hepatic lipogenesis. Preferentially uses myristate, laurate, arachidonate and eicosapentaenoate as substrates. Both isoforms exhibit the same level of activity (By similarity).
46	Ras GTPase-activating protein nGAP	9606.ENSP00000356621	RASAL2	Ras GTPase-activating protein nGAP; Inhibitory regulator of the Ras-cyclic AMP pathway.
47	COMM domain-containing protein 8	9606.ENSP00000370984	COMMD8	COMM domain-containing protein 8; May modulate activity of cullin-RING E3 ubiquitin ligase (CRL) complexes. May down-regulate activation of NF- kappa-B.
48	Nuclear autoantigen Sp-100	9606.ENSP00000343023	SP100	Nuclear autoantigen Sp-100; Together with PML, this tumor suppressor is a major constituent of the PML bodies, a subnuclear organelle involved in a large number of physiological processes including cell growth, differentiation and apoptosis. Functions as a transcriptional coactivator of ETS1 and ETS2 according to. Under certain conditions, it may also act as a corepressor of ETS1 preventing its binding to DNA according to. Through the regulation of ETS1 it may play a role in angiogenesis, controlling endothelial cell motility and invasion. Through interaction with the MRN complex it ma [...] 
49	Ras-related C3 botulinum toxin substrate 2	9606.ENSP00000249071	RAC2	Ras-related C3 botulinum toxin substrate 2; Plasma membrane-associated small GTPase which cycles between an active GTP-bound and inactive GDP-bound state. In active state binds to a variety of effector proteins to regulate cellular responses, such as secretory processes, phagocytose of apoptotic cells and epithelial cell polarization. Augments the production of reactive oxygen species (ROS) by NADPH oxidase.
50	RNA-binding protein 42	9606.ENSP00000262633	RBM42	RNA-binding protein 42; Binds (via the RRM domain) to the 3'-untranslated region (UTR) of CDKN1A mRNA.
51	Histidine triad nucleotide-binding protein 2, mitochondrial	9606.ENSP00000259667	HINT2	Histidine triad nucleotide-binding protein 2, mitochondrial; Hydrolase probably involved in steroid biosynthesis. May play a role in apoptosis. Has adenosine phosphoramidase activity. Belongs to the HINT family.
52	Focal adhesion kinase 1	9606.ENSP00000341189	PTK2	Focal adhesion kinase 1; Non-receptor protein-tyrosine kinase that plays an essential role in regulating cell migration, adhesion, spreading, reorganization of the actin cytoskeleton, formation and disassembly of focal adhesions and cell protrusions, cell cycle progression, cell proliferation and apoptosis. Required for early embryonic development and placenta development. Required for embryonic angiogenesis, normal cardiomyocyte migration and proliferation, and normal heart development. Regulates axon growth and neuronal cell migration, axon branching and synapse formation; required f [...] 
53	Glycogenin-1	9606.ENSP00000340736	GYG1	Glycogenin-1; Self-glucosylates, via an inter-subunit mechanism, to form an oligosaccharide primer that serves as substrate for glycogen synthase. Belongs to the glycosyltransferase 8 family. Glycogenin subfamily.
54	Carbonyl reductase [NADPH] 1	9606.ENSP00000290349	CBR1	Carbonyl reductase [NADPH] 1; NADPH-dependent reductase with broad substrate specificity. Catalyzes the reduction of a wide variety of carbonyl compounds including quinones, prostaglandins, menadione, plus various xenobiotics. Catalyzes the reduction of the antitumor anthracyclines doxorubicin and daunorubicin to the cardiotoxic compounds doxorubicinol and daunorubicinol. Can convert prostaglandin E2 to prostaglandin F2- alpha. Can bind glutathione, which explains its higher affinity for glutathione-conjugated substrates. Catalyzes the reduction of S- nitrosoglutathione.
55	DNA (cytosine-5)-methyltransferase 3A	9606.ENSP00000264709	DNMT3A	DNA (cytosine-5)-methyltransferase 3A; Required for genome-wide de novo methylation and is essential for the establishment of DNA methylation patterns during development. DNA methylation is coordinated with methylation of histones. It modifies DNA in a non-processive manner and also methylates non-CpG sites. May preferentially methylate DNA linker between 2 nucleosomal cores and is inhibited by histone H1. Plays a role in paternal and maternal imprinting. Required for methylation of most imprinted loci in germ cells. Acts as a transcriptional corepressor for ZBTB18. Recruited to trimet [...] 
56	Zinc finger CCCH-type antiviral protein 1	9606.ENSP00000242351	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1; Antiviral protein which inhibits the replication of viruses by recruiting the cellular RNA degradation machineries to degrade the viral mRNAs. Binds to a ZAP-responsive element (ZRE) present in the target viral mRNA, recruits cellular poly(A)-specific ribonuclease PARN to remove the poly(A) tail, and the 3'-5' exoribonuclease complex exosome to degrade the RNA body from the 3'-end. It also recruits the decapping complex DCP1-DCP2 through RNA helicase p72 (DDX17) to remove the cap structure of the viral mRNA to initiate its degradation from the [...] 
57	Ras-related protein Rab-8A	9606.ENSP00000300935	RAB8A	Ras-related protein Rab-8A; The small GTPases Rab are key regulators of intracellular membrane trafficking, from the formation of transport vesicles to their fusion with membranes. Rabs cycle between an inactive GDP-bound form and an active GTP-bound form that is able to recruit to membranes different sets of downstream effectors directly responsible for vesicle formation, movement, tethering and fusion. That Rab is involved in polarized vesicular trafficking and neurotransmitter release. Together with RAB11A, RAB3IP, the exocyst complex, PARD3, PRKCI, ANXA2, CDC42 and DNMBP promotes t [...] 
58	Alcohol dehydrogenase [NADP(+)]	9606.ENSP00000361140	AKR1A1	Aldo-keto reductase family 1 member A1; Catalyzes the NADPH-dependent reduction of a wide variety of carbonyl-containing compounds to their corresponding alcohols. Displays enzymatic activity towards endogenous metabolites such as aromatic and aliphatic aldehydes, ketones, monosaccharides and bile acids, with a preference for negatively charged substrates, such as glucuronate and succinic semialdehyde. Functions as a detoxifiying enzyme by reducing a range of toxic aldehydes. Reduces methylglyoxal and 3-deoxyglucosone, which are present at elevated levels under hyperglycemic conditions [...] 
59	Superoxide dismutase	9606.ENSP00000442920	SOD2-2	Superoxide dismutase; Destroys radicals which are normally produced within the cells and which are toxic to biological systems. Belongs to the iron/manganese superoxide dismutase family.
60	EF-hand domain-containing protein D2	9606.ENSP00000365147	EFHD2	EF-hand domain-containing protein D2; May regulate B-cell receptor (BCR)-induced immature and primary B-cell apoptosis. Plays a role as negative regulator of the canonical NF-kappa-B-activating branch. Controls spontaneous apoptosis through the regulation of BCL2L1 abundance.
61	Rho GTPase-activating protein 18	9606.ENSP00000357131	ARHGAP18	Rho GTPase-activating protein 18; Rho GTPase activating protein that suppresses F-actin polymerization by inhibiting Rho. Rho GTPase activating proteins act by converting Rho-type GTPases to an inactive GDP-bound state. Plays a key role in tissue tension and 3D tissue shape by regulating cortical actomyosin network formation. Acts downstream of YAP1 and inhibits actin polymerization, which in turn reduces nuclear localization of YAP1. Regulates cell shape, spreading, and migration.
62	Proteasome subunit beta type-10	9606.ENSP00000351314	PSMB10	Proteasome subunit beta type-10; The proteasome is a multicatalytic proteinase complex which is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. The proteasome has an ATP-dependent proteolytic activity. This subunit is involved in antigen processing to generate class I binding peptides.
63	Vacuolar protein sorting-associated protein 33A	9606.ENSP00000267199	VPS33A	Vacuolar protein sorting-associated protein 33A; Plays a role in vesicle-mediated protein trafficking to lysosomal compartments including the endocytic membrane transport and autophagic pathways. Believed to act as a core component of the putative HOPS and CORVET endosomal tethering complexes which are proposed to be involved in the Rab5-to-Rab7 endosome conversion probably implicating MON1A/B, and via binding SNAREs and SNARE complexes to mediate tethering and docking events during SNARE-mediated membrane fusion. The HOPS complex is proposed to be recruited to Rab7 on the late endosom [...] 
64	Drebrin	9606.ENSP00000377195	DBN1	Drebrin; Actin cytoskeleton-organizing protein that plays a role in the formation of cell projections. Required for actin polymerization at immunological synapses (IS) and for the recruitment of the chemokine receptor CXCR4 to IS. Plays a role in dendritic spine morphogenesis and organization, including the localization of the dopamine receptor DRD1 to the dendritic spines (By similarity). Involved in memory-related synaptic plasticity in the hippocampus (By similarity).
65	Carnitine O-acetyltransferase	9606.ENSP00000315013	CRAT	Carnitine O-acetyltransferase; Catalyzes the reversible transfer of acyl groups from carnitine to coenzyme A (CoA) and regulates the acyl-CoA/CoA ratio. Also plays a crucial role in the transport of fatty acids for beta- oxidation. May be specific for short chain fatty acids.
67	Apolipoprotein L2	9606.ENSP00000249066	APOL2	Apolipoprotein L2; May affect the movement of lipids in the cytoplasm or allow the binding of lipids to organelles.
68	Small nuclear ribonucleoprotein Sm D2	9606.ENSP00000342374	SNRPD2	Small nuclear ribonucleoprotein Sm D2; Plays role in pre-mRNA splicing as core component of the SMN- Sm complex that mediates spliceosomal snRNP assembly and as component of the spliceosomal U1, U2, U4 and U5 small nuclear ribonucleoproteins (snRNPs), the building blocks of the spliceosome. Component of both the pre-catalytic spliceosome B complex and activated spliceosome C complexes. Is also a component of the minor U12 spliceosome.
69	Signal-induced proliferation-associated protein 1	9606.ENSP00000355589	SIPA1L2	Signal-induced proliferation-associated 1-like protein 2; Signal induced proliferation associated 1 like 2.
70	Galectin	9606.ENSP00000302100	LGALS4	Galectin-4; Galectin that binds lactose and a related range of sugars. May be involved in the assembly of adherens junctions.
71	T1-TrpRS	9606.ENSP00000347495	WARS1	Tryptophan--tRNA ligase, cytoplasmic; Isoform 1, isoform 2 and T1-TrpRS have aminoacylation activity while T2-TrpRS lacks it. Isoform 2, T1-TrpRS and T2-TrpRS possess angiostatic activity whereas isoform 1 lacks it. T2-TrpRS inhibits fluid shear stress-activated responses of endothelial cells. Regulates ERK, Akt, and eNOS activation pathways that are associated with angiogenesis, cytoskeletal reorganization and shear stress- responsive gene expression.
72	Ezrin	9606.ENSP00000338934	EZR	Ezrin; Probably involved in connections of major cytoskeletal structures to the plasma membrane. In epithelial cells, required for the formation of microvilli and membrane ruffles on the apical pole. Along with PLEKHG6, required for normal macropinocytosis.
73	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial	9606.ENSP00000379503	PDP1	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial; Catalyzes the dephosphorylation and concomitant reactivation of the alpha subunit of the E1 component of the pyruvate dehydrogenase complex; Belongs to the PP2C family.
74	Glutathione S-transferase omega-1	9606.ENSP00000358727	GSTO1	Glutathione S-transferase omega-1; Exhibits glutathione-dependent thiol transferase and dehydroascorbate reductase activities. Has S-(phenacyl)glutathione reductase activity. Has also glutathione S-transferase activity. Participates in the biotransformation of inorganic arsenic and reduces monomethylarsonic acid (MMA) and dimethylarsonic acid.
75	Apoptosis-associated speck-like protein containing a CARD	9606.ENSP00000247470	PYCARD	Apoptosis-associated speck-like protein containing a CARD; Functions as key mediator in apoptosis and inflammation. Promotes caspase-mediated apoptosis involving predominantly caspase-8 and also caspase-9 in a probable cell type-specific manner. Involved in activation of the mitochondrial apoptotic pathway, promotes caspase-8- dependent proteolytic maturation of BID independently of FADD in certain cell types and also mediates mitochondrial translocation of BAX and activates BAX-dependent apoptosis coupled to activation of caspase- 9, -2 and -3. Involved in macrophage pyroptosis, a cas [...] 
76	Geranylgeranyl transferase type-2 subunit alpha	9606.ENSP00000382341	RABGGTA	Geranylgeranyl transferase type-2 subunit alpha; Catalyzes the transfer of a geranylgeranyl moiety from geranylgeranyl diphosphate to both cysteines of Rab proteins with the C-terminal sequence -XXCC, -XCXC and -CCXX, such as RAB1A, RAB3A, RAB5A and RAB7A.
77	Transforming protein RhoA	9606.ENSP00000400175	RHOA	Transforming protein RhoA; Small GTPase which cycles between an active GTP-bound and an inactive GDP-bound state. Mainly associated with cytoskeleton organization, in active state binds to a variety of effector proteins to regulate cellular responses such cytoskeletal dynamics, cell migration and cell cycle. Regulates a signal transduction pathway linking plasma membrane receptors to the assembly of focal adhesions and actin stress fibers. Involved in a microtubule-dependent signal that is required for the myosin contractile ring formation during cell cycle cytokinesis. Plays an essent [...] 
